,t,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_7,omega_8,omega_9,omega_10,omega_11,omega_12
48,1573744254.5934691,-0.03608847036957741,0.04909138381481171,0.1305568963289261,-0.1177486926317215,-0.20973806083202362,0.22060918807983398,813.1286010742188,811.040771484375,804.740966796875,811.5578002929688,808.0704345703125,813.46533203125,812.8655395507812,811.3056030273438,804.478759765625,811.813232421875,808.2929077148438,813.2471313476562
49,1573744254.6023664,-0.03600926697254181,0.049002304673194885,0.13044843077659607,-0.11765151470899582,-0.20980367064476013,0.2206714004278183,813.1160888671875,811.033447265625,804.7450561523438,811.5394897460938,808.0755615234375,813.4529418945312,812.8532104492188,811.298095703125,804.483154296875,811.794677734375,808.2979736328125,813.2348022460938
50,1573744254.6109807,-0.035759106278419495,0.04879297688603401,0.1301954984664917,-0.11738220602273941,-0.20993824303150177,0.2208603322505951,813.1201782226562,810.990234375,804.7630615234375,811.4978637695312,808.1246337890625,813.3975830078125,812.8565063476562,811.2557373046875,804.5007934570312,811.75341796875,808.3480834960938,813.1782836914062
51,1573744254.6239913,-0.03542965278029442,0.04853343963623047,0.12983357906341553,-0.11700194329023361,-0.21012826263904572,0.22113123536109924,813.3607788085938,811.110595703125,804.9849243164062,811.65478515625,808.4183349609375,813.5096435546875,813.095703125,811.377685546875,804.7222900390625,811.9107666015625,808.6434326171875,813.28857421875
52,1573744254.6311026,-0.03548809140920639,0.04858066514134407,0.12995803356170654,-0.11713255196809769,-0.2100476622581482,0.22105063498020172,813.22216796875,810.9872436523438,804.870361328125,811.5055541992188,808.2907104492188,813.362548828125,812.9573364257812,811.2540283203125,804.60791015625,811.7614135742188,808.5157470703125,813.1415405273438
53,1573744254.6411335,-0.03540242090821266,0.048385199159383774,0.12972459197044373,-0.1169816181063652,-0.21020366251468658,0.22113201022148132,813.1317138671875,811.004150390625,804.889404296875,811.4226684570312,808.2644653320312,813.3377075195312,812.8690795898438,811.2686157226562,804.628662109375,811.6768798828125,808.4879760742188,813.1181640625
54,1573744254.652831,-0.03489341214299202,0.04766344279050827,0.13011370599269867,-0.11757349222898483,-0.2099667638540268,0.22069203853607178,812.8776245117188,810.7676391601562,804.6675415039062,811.2020263671875,808.008544921875,813.0887451171875,812.6193237304688,811.0277099609375,804.4110107421875,811.4521484375,808.2278442382812,812.8733520507812
55,1573744254.662026,-0.035022858530282974,0.04781389236450195,0.12990804016590118,-0.11736534535884857,-0.2101212590932846,0.2208155244588852,812.9401245117188,810.7566528320312,804.6087036132812,811.30078125,807.9990234375,813.1610107421875,812.6814575195312,811.0172119140625,804.3521118164062,811.5508422851562,808.2177124023438,812.9462890625
56,1573744254.6714163,-0.03491684049367905,0.047790367156267166,0.12982718646526337,-0.11721096932888031,-0.21016451716423035,0.2209198921918869,812.9390258789062,810.7219848632812,804.5604248046875,811.3173828125,807.9701538085938,813.1669921875,812.6786499023438,810.9842529296875,804.30224609375,811.5689086914062,808.1900634765625,812.9510498046875
57,1573744254.6800714,-0.03379301726818085,0.04687848687171936,0.12920647859573364,-0.1164073720574379,-0.2104947417974472,0.22143366932868958,813.0757446289062,810.7919921875,804.6526489257812,811.499755859375,808.1085205078125,813.33935546875,812.8110961914062,811.05859375,804.390625,811.7549438476562,808.332275390625,813.1197509765625
58,1573744254.690227,-0.03329676017165184,0.046686604619026184,0.12913037836551666,-0.11602312326431274,-0.21047376096248627,0.22172380983829498,813.0653686523438,810.8012084960938,804.6749877929688,811.4999389648438,808.1168823242188,813.3640747070312,812.7945556640625,811.0740356445312,804.40673828125,811.76123046875,808.3469848632812,813.13818359375
59,1573744254.7022502,-0.03272680565714836,0.04612528160214424,0.12929700314998627,-0.11616401374340057,-0.21032193303108215,0.2216370701789856,813.1759033203125,810.9850463867188,804.9232788085938,811.58544921875,808.3118896484375,813.47412109375,812.9048461914062,811.2579956054688,804.6544799804688,811.847412109375,808.5433959960938,813.246826171875
60,1573744254.708974,-0.03271888196468353,0.046023014932870865,0.12914010882377625,-0.11610512435436249,-0.2104315310716629,0.22166146337985992,813.169677734375,810.9806518554688,804.9357299804688,811.5661010742188,808.330078125,813.45703125,812.9005126953125,811.251708984375,804.6690063476562,811.8261108398438,808.559814453125,813.2313842773438
61,1573744254.7209384,-0.03276917338371277,0.045971162617206573,0.12883500754833221,-0.11590280383825302,-0.21064913272857666,0.2217676192522049,813.1681518554688,810.9857788085938,804.923095703125,811.5814819335938,808.3286743164062,813.4834594726562,812.9010620117188,811.2547607421875,804.6583862304688,811.8394775390625,808.55615234375,813.2601318359375
62,1573744254.730853,-0.03213445469737053,0.04527347534894943,0.12791220843791962,-0.11502379924058914,-0.211224764585495,0.2222849726676941,813.5060424804688,811.423583984375,805.3328247070312,811.98828125,808.7210693359375,813.9699096679688,813.2400512695312,811.6913452148438,805.0689086914062,812.2455444335938,808.947509765625,813.7476196289062
63,1573744254.7409773,-0.03307528793811798,0.046022456139326096,0.12729652225971222,-0.11458331346511841,-0.21168631315231323,0.22255463898181915,813.8223266601562,811.8114624023438,805.6622924804688,812.298828125,809.056640625,814.3467407226562,813.5601196289062,812.0753784179688,805.40185546875,812.5526733398438,809.2792358398438,814.1282958984375
64,1573744254.750321,-0.03309054672718048,0.04588352143764496,0.1270446479320526,-0.11449054628610611,-0.21187230944633484,0.22258132696151733,813.8287963867188,811.8125,805.6600341796875,812.3125,809.0687255859375,814.3594970703125,813.5696411132812,812.0733032226562,805.4028930664062,812.5631713867188,809.2880859375,814.1442260742188
65,1573744254.7598288,-0.03382930904626846,0.046590544283390045,0.12730124592781067,-0.11478319019079208,-0.21175475418567657,0.22240832448005676,813.8268432617188,811.7718505859375,805.580810546875,812.2982788085938,809.009033203125,814.3226318359375,813.5684204101562,812.031982421875,805.3244018554688,812.5482177734375,809.2272338867188,814.1085205078125
66,1573744254.7695885,-0.033834993839263916,0.046634379774332047,0.12827421724796295,-0.1157124936580658,-0.2111421674489975,0.22181636095046997,813.6513061523438,811.5580444335938,805.3474731445312,812.14453125,808.7518920898438,814.1085205078125,813.3921508789062,811.8189086914062,805.0901489257812,812.3952026367188,808.9705200195312,813.89404296875
67,1573744254.778047,-0.03385625034570694,0.04685654491186142,0.12912026047706604,-0.11636354774236679,-0.21056535840034485,0.2214464396238327,813.4352416992188,811.2901000976562,805.1118774414062,811.8924560546875,808.5038452148438,813.8046264648438,813.172119140625,811.5550537109375,804.8506469726562,812.14697265625,808.7265625,813.5859985351562
